time_slot,user_id,x,y,z
0,0,36.72079156600511,232.39611448798914,0.0
0,1,-34.173523652598575,172.06517862263053,0.0
0,2,6.835808943217424,207.5974656313488,0.0
0,3,3.037097639938284,251.30565177964803,0.0
0,4,-17.568622746996997,233.3641058793027,0.0
0,5,34.02662299313271,158.41203834345316,0.0
1,0,37.22079156600511,232.39611448798914,0.0
1,1,-33.673523652598575,172.06517862263053,0.0
1,2,7.335808943217424,207.5974656313488,0.0
1,3,3.537097639938284,251.30565177964803,0.0
1,4,-17.068622746996997,233.3641058793027,0.0
1,5,34.52662299313271,158.41203834345316,0.0
2,0,37.94463160625813,233.017675185277,0.0
2,1,-33.710170194931884,171.23236594889175,0.0
2,2,6.010259068303608,208.48797280373088,0.0
2,3,4.052364308090957,251.4942076718568,0.0
2,4,-17.286799314150308,234.48820989108611,0.0
2,5,35.89108060167983,158.30038491177902,0.0
3,0,38.02471034797991,232.93938641075474,0.0
3,1,-34.15678121188243,170.92358732432962,0.0
3,2,5.215312075074863,209.38083425728354,0.0
3,3,4.2290125846857105,251.245223021087,0.0
3,4,-15.665154290200853,234.27271856671908,0.0
3,5,35.29984499713188,158.59136530707934,0.0
4,0,36.45234389712889,233.15037792310594,0.0
4,1,-33.13566424636549,170.86433736166174,0.0
4,2,5.205834023791105,207.85856432321103,0.0
4,3,5.108616129875833,251.5088372981303,0.0
4,4,-15.790649969035014,235.93997199029846,0.0
4,5,34.24152137696383,157.16866242592374,0.0
5,0,34.463535453077775,233.2585772577795,0.0
5,1,-32.11755334436902,171.24479664186634,0.0
5,2,5.192847275953376,206.50482738880618,0.0
5,3,6.532864045967816,250.7916324136265,0.0
5,4,-16.649685105109388,237.89120038349324,0.0
5,5,34.280938904363026,157.03152559744092,0.0
6,0,34.541604555860914,232.7777962848197,0.0
6,1,-31.89868561064281,171.98408316423829,0.0
6,2,4.922024137087437,206.27130066576754,0.0
6,3,7.320572177818628,249.41018253549046,0.0
6,4,-15.807587389630896,237.4899719941382,0.0
6,5,34.81022043906577,157.03806333851867,0.0
7,0,36.03370055284009,231.55933042829844,0.0
7,1,-32.008986517585406,172.1878653063317,0.0
7,2,5.279443953065408,206.97384409635276,0.0
7,3,8.220781988564823,248.8803876841956,0.0
7,4,-14.228261151042233,239.25055460757852,0.0
7,5,34.07957383103349,157.0354116012882,0.0
8,0,37.626760416484366,231.1505285278946,0.0
8,1,-30.438239647891724,171.9631040861441,0.0
8,2,4.79306215636757,208.05269773117826,0.0
8,3,6.339461395593743,248.23242960354312,0.0
8,4,-11.127982873889295,239.97884029964254,0.0
8,5,34.4152115254907,156.16218952966213,0.0
9,0,38.542733253560996,230.8566803763222,0.0
9,1,-27.806747424868977,170.94744383942987,0.0
9,2,2.3673112455707623,208.85694109667125,0.0
9,3,7.3075461135263176,247.34207396439336,0.0
9,4,-11.259163859001704,239.28689711179507,0.0
9,5,35.24683974247019,155.2975821551829,0.0
10,0,39.24796163651742,228.57844148847448,0.0
10,1,-26.93107113641398,171.263637694889,0.0
10,2,1.4544456570075992,208.24008819259126,0.0
10,3,8.958889461941714,247.8905124348844,0.0
10,4,-11.438187113764293,238.33021876443678,0.0
10,5,37.050854020139745,154.44772144320996,0.0
11,0,39.680328924817466,229.31775955828633,0.0
11,1,-26.10954039070983,170.93605486013612,0.0
11,2,-0.42211300780385885,208.02579760068022,0.0
11,3,9.84006535830386,247.53812769115467,0.0
11,4,-10.361518537826651,236.76394726214343,0.0
11,5,36.62172955442004,153.38541241471646,0.0
12,0,40.10340673141398,228.2112739128402,0.0
12,1,-26.588692899476815,170.00021758298618,0.0
12,2,-0.9563092490324118,207.2342110439602,0.0
12,3,11.323316779434295,245.29992802762138,0.0
12,4,-9.337020712402584,235.51171890498895,0.0
12,5,37.09208467783731,154.68668520221894,0.0
13,0,40.42305613356192,227.86317361815006,0.0
13,1,-25.8003293510287,168.3236995291982,0.0
13,2,-0.3490774211965446,207.57962589566725,0.0
13,3,12.007136017937462,244.91906112860397,0.0
13,4,-8.593389488516847,234.22759881799942,0.0
13,5,36.29175242717802,156.02284187089447,0.0
14,0,42.39947761940217,226.9203137609301,0.0
14,1,-24.929891913019095,166.45868934790792,0.0
14,2,-0.3184729499562614,207.1829999643948,0.0
14,3,11.456548065945011,244.6192389948096,0.0
14,4,-7.165468105447725,234.1497988982399,0.0
14,5,35.72119557724533,157.78518309877882,0.0
15,0,43.615802599298334,228.12096264397198,0.0
15,1,-25.551627961075535,168.40682227560012,0.0
15,2,-0.2386559186870284,205.87054111275384,0.0
15,3,10.489280219982689,245.28545398632102,0.0
15,4,-5.5330331977813225,234.79548224766583,0.0
15,5,36.28346718491532,157.38993360887775,0.0
16,0,44.204061260004025,226.41564182292973,0.0
16,1,-26.366984729070115,169.73608158469372,0.0
16,2,-1.6915779851191042,207.4610594876603,0.0
16,3,11.503540209509223,244.44367133051733,0.0
16,4,-3.97243345832583,235.50789709649277,0.0
16,5,36.62688260514351,157.7188257007877,0.0
17,0,44.44215464003785,225.66441289664687,0.0
17,1,-25.939360677955197,170.6615527543418,0.0
17,2,-1.705596488018558,208.38378264111017,0.0
17,3,13.068945282229802,244.80639681095354,0.0
17,4,-4.15379670150569,235.08322492846068,0.0
17,5,38.39140411591134,159.2720472046005,0.0
18,0,45.3391961171496,225.10534969541632,0.0
18,1,-24.72122264297129,171.6527024086809,0.0
18,2,-2.8319147059977086,208.81340612615742,0.0
18,3,12.71039943801209,244.5294772746169,0.0
18,4,-3.8974089278345363,236.49009807532434,0.0
18,5,37.457412788211506,159.56668354067511,0.0
19,0,46.623523551922055,225.49337727634767,0.0
19,1,-23.154019012041914,171.13845433554272,0.0
19,2,-3.100877769933201,208.56131019532802,0.0
19,3,14.067862235987818,244.29242119761432,0.0
19,4,-3.4782996462423728,237.22794441222734,0.0
19,5,36.18368630184728,160.1589248241628,0.0
