time_slot,uav_id,x,y,z
0,0,12.722989381917008,177.6755341237469,50.0
0,1,7.758377015194604,232.17265392758944,50.0
0,2,18.053930960571037,239.53705516027958,50.0
1,0,12.945881889827737,182.62069689687922,50.0
1,1,12.662326275906274,232.26859336265423,50.0
1,2,22.616951189910637,238.47812714743168,50.0
2,0,15.82774095392991,186.64671360906794,50.0
2,1,17.572008072933862,233.01666080125668,50.0
2,2,27.51146527377294,238.00546219515354,50.0
3,0,18.67986683703233,190.71091591772273,50.0
3,1,22.093003213009546,233.33127602108814,50.0
3,2,32.411847315704094,237.3656053798154,50.0
4,0,22.270017431743632,193.26039182600215,50.0
4,1,27.083828866085717,233.43251792260506,50.0
4,2,37.31278344241308,236.42599561380894,50.0
5,0,25.570657776363383,196.90180551466182,50.0
5,1,31.986622273525903,234.11947641440727,50.0
5,2,41.96673174945043,236.19229866134674,50.0
6,0,25.72348213351537,201.78335105833247,50.0
6,1,36.747104107937524,235.5993629462371,50.0
6,2,46.84340640155004,236.08127136098892,50.0
7,0,27.07649076140691,206.4683877175732,50.0
7,1,41.740601956448266,235.83853318461277,50.0
7,2,51.18149443713354,235.4245209203914,50.0
8,0,29.484089256890307,210.81740295347407,50.0
8,1,46.720574795803735,236.17198096879818,50.0
8,2,56.15770360079931,235.2061372803405,50.0
9,0,31.93157470382024,215.0283743089123,50.0
9,1,51.63201135357351,237.07666610845425,50.0
9,2,61.143180571471916,235.01207240986378,50.0
10,0,33.36090123809148,219.67541515287593,50.0
10,1,56.54287666042776,237.17167159834005,50.0
10,2,66.02978440371679,234.6322809414819,50.0
11,0,36.149123789437304,223.72145378050044,50.0
11,1,61.3392514582488,237.51264217414953,50.0
11,2,71.01713439074682,234.31737011241466,50.0
12,0,38.92630613005925,227.61550342497065,50.0
12,1,66.26179212292166,237.56304915168383,50.0
12,2,75.8528382405393,233.82281106280834,50.0
13,0,41.7460066095667,231.6672993844433,50.0
13,1,71.21119493206473,237.96983994462587,50.0
13,2,80.68431778994726,233.71909141855986,50.0
14,0,42.767757655747424,236.4432946389599,50.0
14,1,75.81002324779959,239.85094727494814,50.0
14,2,85.41652604190038,232.23602736311705,50.0
15,0,47.1824843899088,238.33214640077784,50.0
15,1,80.78273671825858,239.91051884287097,50.0
15,2,90.36072178927587,231.49898052531034,50.0
16,0,49.27504277385045,242.80538248476222,50.0
16,1,85.71993058880301,239.9322368606279,50.0
16,2,95.32195063677953,231.11863655167372,50.0
17,0,49.23180431283284,247.79464697298243,50.0
17,1,90.65886062344046,240.19599388086297,50.0
17,2,99.96646805850195,230.2916252048567,50.0
18,0,52.565763892300616,251.35154962000087,50.0
18,1,95.31985181530447,241.98621902906396,50.0
18,2,104.55333777514623,228.7578607233122,50.0
19,0,55.00409072793294,255.60587596353724,50.0
19,1,100.11899942120047,242.12955292605855,50.0
19,2,109.46114178744482,227.8624076278761,50.0
20,0,57.753394068844806,259.63617467340663,50.0
20,1,105.07514709194632,242.27008197748162,50.0
20,2,114.0210282429807,227.718955817993,50.0
21,0,59.12575060284902,264.3349342292233,50.0
21,1,109.53739064892264,243.08813718997934,50.0
21,2,119.00338908282446,227.6853722290948,50.0
22,0,61.32345611012746,268.81438779291346,50.0
22,1,114.47006505688162,243.21675569855668,50.0
22,2,123.74430962649511,227.53519328999073,50.0
23,0,63.64006120122243,273.1013998931332,50.0
23,1,119.3821758623931,243.21901656070784,50.0
23,2,128.49289675799537,227.47076621967108,50.0
24,0,64.7434129134493,277.8799285834713,50.0
24,1,124.2551154490325,244.30085028091506,50.0
24,2,133.30860873309302,226.56162938791067,50.0
25,0,68.99640840447714,280.3713848536892,50.0
25,1,129.14057534893485,244.69118223467902,50.0
25,2,138.01305695620704,225.95566127019674,50.0
26,0,72.42353910363485,283.9926502650662,50.0
26,1,133.97154086788626,245.0969074455841,50.0
26,2,142.90149804202247,225.7170872868851,50.0
27,0,75.9146856681185,287.5487921183987,50.0
27,1,138.94511026104422,245.12212680967585,50.0
27,2,145.67269846049476,225.9720678212002,50.0
28,0,78.27595371163656,291.7602131312771,50.0
28,1,143.91441005428763,245.16251402663127,50.0
28,2,150.58952995387244,226.41281320470125,50.0
29,0,77.73806703246404,296.5353496020718,50.0
29,1,148.8368205424163,245.60240593122379,50.0
29,2,154.43971224871802,226.66198684590609,50.0
30,0,78.5863250509577,301.4053103869839,50.0
30,1,153.53835910519095,246.2518539683713,50.0
30,2,156.20793493834663,226.75499283092768,50.0
31,0,80.70105731643011,305.7629387324734,50.0
31,1,158.23105472286673,246.2674585966213,50.0
31,2,159.45126541701484,227.36321978586466,50.0
32,0,82.12394297278692,310.5546457713528,50.0
32,1,163.16193050106497,246.9064293293102,50.0
32,2,161.65085157004523,228.13956688659937,50.0
33,0,85.80772030509283,313.92064976152614,50.0
33,1,167.99850219448538,246.94827926660017,50.0
33,2,164.85596974936652,228.80883275287897,50.0
34,0,87.09295535243322,318.5552318042202,50.0
34,1,172.89133161266776,247.0344849353476,50.0
34,2,167.25032743064094,229.59615950601847,50.0
35,0,90.91608357585241,321.7413439696713,50.0
35,1,177.815926014981,247.03923050256506,50.0
35,2,168.15515585986304,233.8476353170231,50.0
36,0,90.9105930823574,326.7322144454403,50.0
36,1,182.80437988003226,247.2121907988383,50.0
36,2,172.5556461438291,235.05483751314432,50.0
37,0,89.65013044064139,331.45699452814296,50.0
37,1,187.73663896282645,247.80311196239725,50.0
37,2,177.35616084185767,235.30950941460878,50.0
38,0,93.09871714298819,335.06937455591395,50.0
38,1,192.6223863955352,247.97867486568228,50.0
38,2,181.78945036975074,236.5636708916977,50.0
39,0,96.72967617695426,338.46873712000087,50.0
39,1,196.93092673977347,248.8996792802407,50.0
39,2,185.29086562243629,237.92601813691408,50.0
40,0,98.66333739941214,343.02934026178553,50.0
40,1,198.6146319504592,248.76048622222677,50.0
40,2,186.91660281268287,238.17131142633707,50.0
41,0,102.56916945164298,346.05577444490626,50.0
41,1,200.5902829762313,248.61105408461825,50.0
41,2,191.3077318295591,238.19980054664165,50.0
42,0,105.88194554035758,349.756538624136,50.0
42,1,204.8078556652877,248.55963057966963,50.0
42,2,194.78379269686866,239.75873058604748,50.0
43,0,108.40700929348563,354.05966734346583,50.0
43,1,209.3000546093795,247.4511469075276,50.0
43,2,197.05305119601417,240.29988473224194,50.0
44,0,109.2186386484394,358.93086456712916,50.0
44,1,213.50006443222495,247.39166085736886,50.0
44,2,201.5895430668943,240.43788119720966,50.0
45,0,111.51091598456,363.24102043565944,50.0
45,1,217.03824287613364,246.67116152064935,50.0
45,2,205.8750927075498,240.45415624732823,50.0
46,0,114.24939178412055,367.1950981563015,50.0
46,1,220.23811870773764,246.17299719469682,50.0
46,2,207.47158511725593,242.465832081984,50.0
47,0,116.89268945639228,371.4199907725735,50.0
47,1,224.929119169316,245.71209143417016,50.0
47,2,210.3048807009809,242.49199639948756,50.0
48,0,118.30677770559882,376.0556619113369,50.0
48,1,227.65017515381308,244.75035356300012,50.0
48,2,211.77967198935676,242.70368803235442,50.0
49,0,121.3101754087696,379.8903517669125,50.0
49,1,230.20385438164206,243.8644540192379,50.0
49,2,212.08826091138053,242.72964878509492,50.0
