episode,UAV_0_reward,UAV_1_reward,UAV_2_reward,RIS_reward
0,0.14168669052201527,0.16689020199159268,0.2153292239211278,-1.6360938835652648
1,0.1374219286192939,0.12485299902922371,0.11488175189244618,-2.062843320459036
2,0.14481081824288397,0.11294894985002396,0.12000587260062608,-1.9022343593064663
3,0.1122420920880505,0.18419883822471583,0.18873453342993796,-1.894824536257296
4,0.1625374695476286,0.18155113791630953,0.1728114636082963,-1.683099928927766
5,0.1381267531425992,0.12424564905539963,0.15776658624474962,-1.8598610115572511
6,0.11118501437477914,0.13483170680084525,0.15924668199841782,-2.0947365968259577
7,0.14576121103505277,0.12910592619682834,0.10893472627462046,-1.8761981364934983
8,0.19434068327585352,0.13263735873494667,0.17372956533037787,-1.6992923926588221
9,0.16362371564853248,0.19636828000732742,0.05684547783943758,-1.923162526504702
10,0.17718755694577804,0.15794408521083952,0.18630152323701207,-1.6985668346063707
11,0.12046405424300055,0.07284752323053163,0.11042942138204646,-2.2962590011444215
12,0.13691516147330385,0.18898655428669683,0.16860069989285267,-1.6654975843471467
13,0.1564709401012119,0.18704516803687454,0.13422152130452095,-1.7222623705573925
14,0.1524184289995586,0.1653579875751825,0.13055214810831256,-1.891671435316946
15,0.13741987022892047,0.151454300758103,0.10678338015773575,-2.004342448855241
16,0.17591527230156445,0.20199135027498183,0.14528360920855232,-1.5568097682149014
17,0.10688314234919105,0.17472438269986842,0.14120027092351992,-1.997192204027421
18,0.10897040304476896,0.13332854377377953,0.1517898238906979,-1.865911229290754
19,0.15190833330123266,0.1502944564617325,0.14535425393398185,-1.932442956303053
20,0.09007880621452291,0.21218589404109117,0.10738988655849986,-2.030345413185886
21,0.14076710608931536,0.07858716015235254,0.12064525119631478,-1.9000004825620171
22,0.1285508790488147,0.08279308098249262,0.16214049976212264,-1.98651554020657
23,0.13856741912960377,0.12109436121894925,0.22238619118581024,-1.7979520284656365
24,0.16667716957726766,0.13733082533800312,0.13121224507471363,-1.9247797600100158
25,0.16060545976657528,0.19217357363343499,0.10991717371116755,-1.7973037928888218
26,0.15543050636777214,0.13789763359957352,0.11326662842695855,-1.8334052316056955
27,0.11961880204050032,0.21981687140131817,0.18118422523171898,-1.7593801013264627
28,0.1430937301092726,0.0959742372439971,0.11334800507828971,-2.127584027568441
29,0.14243188356357497,0.14926037286674074,0.11171461870687376,-1.996593124862811
30,0.17825218979431795,0.10713658545984137,0.16115740204338505,-1.973453822702456
31,0.0958022124438898,0.1598833702889944,0.16259443003594679,-2.021719987231169
32,0.18758615678828294,0.1966287118193849,0.1727661034678931,-1.6030190279244392
33,0.1528110821870117,0.19043693851179452,0.26277463206047236,-1.4739773472407216
34,0.10416249612301869,0.11593393038640169,0.1826364595915866,-2.0772671138989933
35,0.15885262622292232,0.23005523821814003,0.16761036269191965,-1.5234817728670178
36,0.21908311670682754,0.28817182173168293,0.2766214003162412,-0.9161236612452486
37,0.14410178451160363,0.20096824221846635,0.1109957011536539,-1.9039342721162762
