episode,UAV_0_reward,UAV_1_reward,UAV_2_reward,RIS_reward
0,0.16118840868740592,0.18682777879556983,0.15001218264033958,-1.7419716298766845
1,0.1611511175404424,0.12926153068116833,0.16344604512047287,-1.7061413066579165
2,0.1824181132981342,0.1566149409836906,0.1290769433722934,-1.7518900023458825
3,0.12611189291294383,0.1570759616176934,0.13293957570958093,-1.9438725697597818
4,0.21391469102694072,0.16800559454799313,0.07639527377450392,-1.7616844406505627
5,0.11980521737215911,0.11771094373754895,0.13572781766582767,-2.166756021224464
6,0.22986670996087935,0.18399774541649216,0.14441606732919504,-1.4217194772934334
7,0.07348096893957237,0.13209052364568424,0.14789302463478168,-2.1065354827799614
8,0.18193405593224013,0.20933398811067094,0.12308971898945587,-1.7256422369676334
9,0.1288642950617346,0.1623639366803633,0.1666476221906196,-1.8421241460672824
10,0.16625127483401222,0.20626040795113132,0.1081243914198402,-1.8193639257950167
11,0.1482612667810063,0.10605703242356725,0.10954892055530335,-2.056132780240123
12,0.11889657628965758,0.1061061023779181,0.16967815489257987,-2.025319166439844
13,0.10360847795074925,0.15262803131111136,0.15710908894041614,-2.0066544017977233
14,0.12398121072992538,0.1306407756158193,0.17204923774091052,-1.773328775913344
15,0.19119427175880943,0.14775526675841377,0.07759271189436068,-2.043457749588416
16,0.0927863760650049,0.06896009571195078,0.19812120800836655,-2.0801323202146778
17,0.13391731251918193,0.13628849601043744,0.15024581522118513,-1.8795483762491958
18,0.087086698344936,0.1252515330350818,0.19755756840661537,-1.9901042002133664
19,0.1578482061285241,0.1182312327338765,0.09259779823625068,-2.0913227629013487
20,0.09372022867937897,0.14848122823192947,0.111037298377052,-1.9867612447116398
21,0.16228844678993545,0.12728701835875805,0.10043897467908627,-1.8299855601722204
22,0.012372198909178688,0.07826147126680909,0.14833094175373468,-1.881035388070278
23,0.11385603546145241,0.08967831747385141,0.04005789999728407,-2.3964077470674123
24,0.176556369639016,0.09350816771904982,0.10908651420309484,-1.7208489484388394
25,0.15302194608611142,0.020716558926372686,0.009507317211547375,-1.8967541777759684
26,0.17032339862270918,0.14173292744872165,0.1323899653344366,-1.7955537085941322
27,0.13799816559333522,0.10334043459915085,0.10993286654134654,-2.2687285332661675
28,0.1745035262677845,0.1899927280369853,0.11894878218186994,-1.7165549635133601
29,0.1650610586991332,0.13501290090234044,0.1282738159769617,-1.9916522244215644
