episode,reward
0,-1.8800281253446698
1,-2.3149938757117963
2,-2.2811158614280687
3,-2.0933470573197557
4,-2.1191107057709493
5,-2.192764443209971
6,-2.5445841821322754
7,-2.235503674712406
8,-2.1152933055811913
9,-2.195436076926485
10,-1.9964059634693547
11,-2.6591312795151674
12,-1.922600087168489
13,-2.140010768561961
14,-2.1869960465830136
15,-2.1373398806545865
16,-1.9362362772915418
17,-2.3232942438189124
18,-2.065239136839108
19,-2.125410384265725
20,-2.4913183865739397
21,-2.1611533786232604
22,-2.4373260789943463
23,-2.065240082656193
24,-2.2522658720332416
25,-1.7840655337379199
26,-1.9592933918282642
27,-2.3787738201599384
28,-2.3728491220845127
29,-2.1818192671941095
30,-2.1428911804089457
31,-2.3114444321790932
32,-1.8742192875241175
33,-1.7341942795387169
34,-2.4383602474243466
35,-1.6703589436774524
36,-1.7216087399477065
37,-2.232067667215373
38,-2.3687030296746956
39,-2.022390440322553
40,-2.389604776246626
41,-1.7591609691959222
42,-1.9254526469724396
43,-2.2725183973401433
44,-2.3447890914583125
45,-1.9909290216279913
46,-1.9000527744079299
47,-2.3146575710461903
48,-2.1877639525342745
49,-2.056614162246694
50,-1.6898498281506864
51,-1.7900062437520834
52,-1.8825513507249088
53,-1.7283663822256927
54,-2.2371381647166033
55,-1.9825282162034
56,-1.6263307390634603
57,-2.242138292790066
58,-1.847726981826437
59,-1.83063756019031
60,-1.8217236828699108
61,-1.7291879073691891
62,-1.6907354644240882
63,-2.0831693463214633
64,-2.019939154812409
65,-1.97966654670382
66,-1.8848111078550955
67,-2.2958766415183023
68,-1.7175727226677433
69,-1.812622584867706
70,-1.6249517836890681
71,-1.9804658642695854
72,-1.818824488793367
73,-1.613670378078401
74,-2.013722392462676
75,-2.164297594390934
76,-2.0525156548830426
77,-2.058289526769932
78,-1.8879936302772455
79,-2.0237130199997364
80,-1.9493596882051316
81,-1.820603384654215
82,-1.8504636617831038
83,-1.8313604859231858
84,-1.9822568069994864
85,-1.6343214813888212
86,-1.5634087345228789
87,-1.7745276732807702
88,-1.611883756835701
89,-2.03132853682309
90,-1.5637546681547028
91,-1.9793697138446629
92,-1.365807770647369
93,-1.769097374079355
94,-1.6910578802062661
95,-1.8491358484268057
96,-1.529886030231792
97,-1.6372713564810044
98,-1.5926052248849785
99,-1.5532759384611166
100,-1.568350360649842
101,-1.662828216068842
102,-1.7373211612175956
103,-1.5646148481027382
104,-1.730116783968154
105,-1.5083710150886398
106,-1.3378544713403893
107,-1.1715268828178191
108,-1.660218732737048
109,-1.1881870688984661
110,-1.5219263904677858
111,-1.4155899189714074
112,-1.6793699621728235
113,-1.8898901310870329
114,-1.6185856145503792
115,-1.7715380616378622
116,-1.7682739331148738
117,-1.3931046021677782
118,-1.306171534753094
119,-1.591923773145203
120,-1.4257368079056199
121,-1.2661560995506904
122,-1.3697824175252378
123,-1.114285173888536
124,-1.6480612320671413
125,-1.675519684388822
126,-1.0845150333272628
127,-1.6321826844043006
128,-1.4406633383214547
129,-1.5547190177463424
130,-1.3590848539020348
131,-1.3831237017053621
132,-1.4665237638577535
133,-1.5562103590632292
134,-1.8780829688133474
135,-1.3073752982904354
136,-1.3038173879434942
137,-1.5026818569132
138,-1.4157319404166053
139,-1.194111186116563
140,-1.480233552324416
141,-1.3604813801218183
142,-1.2874386452650577
143,-1.46249439580599
144,-1.4800416271688521
145,-1.7305163670686772
146,-1.3479416858275854
147,-1.4532751362135108
148,-1.1320595095617896
149,-1.2789379749917869
150,-1.49886679377744
151,-1.529192114584368
152,-1.206190337080814
153,-1.5841883032274535
154,-1.2682120849516119
155,-1.5417191033796562
156,-1.1233523027686776
157,-1.4731339424213348
158,-1.0957824186530931
159,-0.8676740166139628
160,-1.391887571350379
161,-1.1544903021580608
162,-1.188609048168634
163,-1.17231200420842
164,-1.2048895372689805
165,-1.3346189907018786
166,-1.2482455763417555
167,-0.26191261484785516
168,-0.7003902179668303
169,-0.6764183112215627
170,-1.2243337653981547
171,-1.0645598526095026
172,-0.7645515072669714
173,-1.10239573361715
174,-1.0631685729186997
175,-1.370784671050217
176,-1.013753928174255
177,-1.0374708563226855
178,-1.0842611360832255
179,-1.0047503594749885
180,-1.0695422113894415
181,-1.0945771754993663
182,-0.963400216208222
183,-1.0282809613176354
184,-1.0997117633821543
185,-0.7748143543157506
186,-1.0797818406969015
187,-1.226985411476938
188,-1.2730648871484314
189,-0.9173469402971647
