episode,reward
0,-2.239205444963423
1,-2.1316047118326655
2,-2.0638410656022668
3,-2.1955076757577645
4,-2.1780395208648415
5,-1.6183692040530786
6,-2.0451544851954644
7,-2.0300139899074683
8,-2.0928432826332712
9,-1.8775352498186348
10,-1.7198294383737132
11,-1.9447771214251048
12,-2.046509745100183
13,-1.9008527131869537
14,-1.9319661641992008
15,-1.8473395800337036
16,-1.9112823376727939
17,-1.921565235177333
18,-2.0179058437307273
19,-1.8246891204724163
20,-2.458567457525815
21,-2.118697490874745
22,-2.0215582223303885
23,-1.9054595071342837
24,-1.7758820046997181
25,-2.297039424798975
26,-1.8273538303182548
27,-2.312215977460048
28,-2.0631743170161845
29,-1.9078063021912326
30,-1.6491430492305035
31,-1.6226343651587216
32,-2.1263910831394606
33,-2.088461433942322
34,-1.5701961432757383
35,-2.0065727551044295
36,-1.8309816873069307
37,-1.602375779169539
38,-1.7623423653262114
39,-1.6257789512015923
40,-1.8721680737673143
41,-2.002162621762051
42,-1.8866593629843627
43,-2.1355550504540806
44,-1.7376075333986014
45,-1.792134622294344
46,-1.482908253738379
47,-2.4498026852873718
48,-1.565195905239209
49,-2.0660716410466664
50,-1.4370554560910727
51,-2.0322112396529577
52,-1.8717324281262595
53,-1.7631335408433748
54,-2.442424926400137
55,-1.6667262512564585
56,-1.487602809005645
57,-1.2720802201976469
58,-1.7607487980473302
59,-1.8013250507868424
60,-1.7682353963931143
61,-1.4296634111874489
62,-1.5290653099337264
63,-1.5051832212939535
64,-1.6876378142196706
65,-1.5643556837177255
66,-1.8449279481507914
67,-1.5147166532561218
68,-1.8545030314209496
69,-1.7567434129123551
70,-1.7974798896913733
71,-1.3631471046810792
72,-1.2439827833230508
73,-1.6388944172128004
74,-1.6364653880505988
75,-0.9715876924864301
76,-1.929339557472045
77,-1.4992152839366775
78,-1.2636242880564281
79,-1.266295775436734
80,-1.5792797416981963
81,-1.4154364335333214
82,-1.4014876881311396
83,-1.4182855912242962
84,-1.7097217249525738
85,-1.474849718477242
86,-1.505396146161153
87,-1.5937183806928028
88,-1.587977316072338
89,-1.4362187178601575
90,-1.7732536366800011
91,-1.5319229106474301
92,-1.3257834440014622
93,-1.3107694029116874
94,-1.214461405225845
95,-1.1883839490514543
96,-0.7345880630851142
97,-1.4148488078554704
98,-1.5203574098613348
99,-1.2400484885811516
100,-1.682284399522252
101,-1.1507850553676213
102,-1.3280096063805131
103,-1.1646027680313795
