episode,reward
0,-1.821517808563619
1,-2.218863556946696
2,-1.8864512790460959
3,-2.100132683809515
4,-1.7714883581297165
5,-1.9485108756860665
6,-2.297754116812417
7,-1.8983582322793366
8,-1.8388994269193042
9,-1.9556531118351967
10,-1.8750555923423085
11,-2.210519129354142
12,-1.8404983814054454
13,-1.8798718436185273
14,-2.026810080806547
15,-2.092947503170915
16,-1.6850451161787
17,-2.1784313740043815
18,-2.1127350211573406
19,-2.085797847744892
20,-2.1919999298795143
21,-1.9764329794822866
22,-2.0548521431123086
23,-1.8845023339759097
24,-2.328369161108036
25,-1.7570107358852085
26,-1.9780636479193254
27,-1.9158425349549069
28,-2.187348092383081
29,-1.897973002448277
30,-2.033048357231289
31,-2.4537200747198344
32,-1.8583665584480624
33,-1.6417492465332173
34,-1.8323157293049706
35,-1.6626587767553804
36,-1.182595588873677
37,-1.94532433846706
38,-1.5420367040053946
39,-1.820356279742357
40,-1.5997741147000721
41,-1.6041113488254313
42,-1.45024227881922
43,-1.9878405764966152
44,-1.8629974529729878
45,-1.979729645602734
46,-1.4132736840790405
47,-1.9332753536389335
48,-1.7059766421883609
49,-1.5455404826940207
50,-1.5749285705721832
51,-1.552362039413662
52,-1.6192958552151047
53,-1.4400047745784372
54,-2.0632283453353026
55,-1.6155720089187213
56,-1.6455735434991055
57,-1.5791860195796168
58,-1.2754887879014822
59,-1.5574286777809916
60,-1.8432869922095574
61,-1.5063461582197981
62,-1.3850404390354836
63,-1.5436433569550478
64,-1.6867241451906554
65,-1.6744598056724609
66,-1.6139710613867582
67,-1.5952297017852166
68,-1.320035931497934
69,-1.490095094385127
70,-1.7978329844802008
71,-1.395800839406131
72,-1.4830306888074012
73,-1.4825183683147538
74,-1.5897607004835808
75,-1.2624144508502175
76,-1.4450832291254858
77,-1.5324298995378232
78,-1.120352415396638
79,-0.8560599863575458
80,-1.1371732724834598
81,-1.2370705168775882
82,-1.4423046863411586
83,-1.086602348547536
84,-1.5338980260188437
85,-1.5559271623550621
86,-1.616659171567868
87,-1.6109238026465988
88,-1.5466616074980077
89,-1.2004313632506916
90,-1.236195093515288
91,-1.118385099902614
92,-1.716772805072663
93,-1.3543026791613895
94,-1.3705413839791873
95,-1.3179082565759757
96,-1.284854634645619
97,-1.3045002471431584
98,-1.1313800144883421
99,-1.814411594929521
100,-1.6318147994466643
101,-1.1575152812986718
102,-0.890681712175894
103,-1.0327641061746868
104,-1.071505317696467
105,-1.6300006620234553
106,-1.3135692888503578
107,-1.0841725716307549
108,-1.740790672776943
109,-1.0355118670593235
110,-1.1524141512456851
111,-1.5419648556189773
112,-1.3823392547218236
113,-1.346496280070091
114,-0.8364038459265689
115,-1.5903292717804118
116,-1.3965241706206006
117,-1.2957182487965275
118,-1.062799893890249
119,-0.8609469962973826
120,-0.8646776880742635
121,-1.364678751444788
122,-1.6331800221342179
123,-1.3050183405858766
124,-1.393317069176173
125,-1.663805239368867
126,-1.1845003628912105
127,-1.4682139703515487
128,-1.1075904789842905
129,-1.224722884781784
130,-1.2538703585783413
131,-1.5109823953449766
132,-1.0998970556469319
133,-1.431492233027721
134,-1.1361180835908724
135,-1.4321112219141723
136,-1.3596495081887208
137,-1.2065728157343278
138,-1.2875413149447754
139,-1.2484338516856692
140,-1.608513152327808
141,-1.1780190193773894
142,-0.9359051731061631
143,-1.3131724537262728
144,-1.3990346771598194
145,-1.4371049483791478
146,-0.9797346759835054
147,-1.3094875069599905
148,-1.368213518349434
149,-0.87132182196702
150,-1.442548712069839
151,-1.0190908703308508
152,-1.0880479667305223
153,-1.4283669456964592
154,-1.156134193079537
155,-0.906308651436128
156,-1.0622166470104053
157,-1.0674469708472167
158,-1.0912233736169126
159,-0.9609879778641408
160,-0.9318353445039239
161,-1.3659975230932326
162,-1.082185989285903
163,-0.6536835416316674
164,-1.1176659058517864
165,-1.1539954875158973
166,-0.8930700988243777
167,-0.9164891593626843
168,-0.8365557122860264
169,-0.7189971292906313
170,-0.9309258984646757
171,-0.6574369260778725
172,-0.8639788559086955
173,-0.9344377113091862
174,-0.9917184139512902
175,-0.9361367423979695
176,-0.6406622230487374
177,-0.8257650028372951
178,-0.5325274646922692
179,-0.4123594853096767
180,-1.0474816381983085
181,-0.6881674174223851
182,-0.4298595249342629
183,-1.0596043247512283
184,-0.9963261906765716
185,-0.840339828958931
186,-0.9713903784289611
187,-0.4069909565379233
188,-0.5937680440646756
189,-0.8924685464447378
190,-0.21153889691638617
191,-0.5511969301521845
192,-0.7609565521611745
193,-0.6904971896736484
194,-0.41705603113092793
195,-0.4975398247020086
196,-0.46430516949266243
197,-0.5469077278793872
198,-0.06476766293381374
199,0.011960993170701251
200,-0.47994152926655986
201,-0.783993225486987
202,-0.813819264268959
203,-0.4722564440976578
204,-0.44746988973624807
205,-0.6322156871715403
206,-1.051301275883074
207,-0.47658227047213453
208,-0.01818804898521242
209,-0.1253901996745119
210,-0.7098025031185058
211,-0.06400172145196019
212,-0.5965956945202837
213,-0.5059590148155414
214,-0.4241641272032522
215,-0.15083366833550169
216,-0.0398245595495822
217,-0.16740684927733557
218,-0.8008932563074452
219,-0.41166294381818164
220,-0.2757946163971879
221,0.02313262302132855
222,-0.3944049340909682
223,-0.22322842755350525
224,0.11817022576686062
225,-0.15586905711192098
226,-0.3801019125210182
227,0.1611769465843103
228,0.5455395595871466
229,-0.13681179859859824
230,0.127995154074595
231,0.32514929177621915
232,-0.5210873444321561
233,-0.04637688166040764
234,0.19518439413766697
235,-0.24339959768160735
236,0.09465539070797634
237,0.5303212327224198
238,0.33298646020893863
239,0.05553277280087867
