episode,reward
0,-2.601270220149607
1,-1.8840348796260653
2,-2.4721057242338436
3,-2.0236161151680503
4,-2.057994299601348
5,-1.6326663655475309
6,-2.000604566073736
7,-2.049335626420308
8,-2.114376479137287
9,-2.1070440609388994
10,-2.0657871038896785
11,-1.7624241167080905
12,-2.296892514563484
13,-1.8054974384140514
14,-2.1982137220121998
15,-1.9784240676792029
16,-2.305354845521681
17,-1.958297154050888
18,-2.164940461644668
19,-1.9131175045935271
20,-1.9311755052348318
21,-2.009466951842928
22,-2.093041355703913
23,-2.1566957039697807
24,-1.6016551990096253
25,-2.0536435522786607
26,-1.7563674311421815
27,-2.0347481515654464
28,-1.9422399845007283
29,-1.6684784044308634
30,-2.296394715438829
31,-1.5951462536436105
32,-2.0385813943957856
33,-2.1173014850552074
34,-2.0677630558946394
35,-2.187739616790181
36,-1.9554329782996698
37,-2.395851778961249
38,-1.9555220156400788
39,-1.8308561037378046
40,-2.324541622661826
41,-1.9383671971419154
42,-2.194784975743472
43,-2.2414786714179358
44,-2.0157074742855956
45,-1.6858585231754086
46,-2.0770094726219632
47,-1.760417679585076
48,-1.961084433883931
49,-1.7701018111646372
50,-1.9056821855951105
51,-1.7615310672365512
52,-1.7509629278382286
53,-2.2342913524259482
54,-1.91353697926439
55,-2.340560508882136
56,-2.3106954249560823
57,-2.1534981349001527
58,-1.9655548180707654
59,-2.3925983621647613
60,-1.8695971202354624
61,-2.080555808012278
62,-2.264627784160557
63,-2.4321366552307437
64,-2.0264011367534884
65,-2.416489187022809
66,-1.8665156755664554
67,-1.9673330504795732
68,-2.219593480021508
69,-2.1326806551283206
70,-1.6281008230098664
71,-1.851582982122971
72,-2.0842700902133124
73,-1.7645811074552535
74,-2.604663750573136
75,-1.7010761117435853
76,-1.6814196471605933
77,-1.7818916919986896
78,-2.105346414652542
79,-1.9932015891414512
80,-1.9448682137444178
81,-1.97035788371695
82,-1.557186772556517
83,-2.2607043619399327
84,-2.1919550257665024
85,-1.7578859728314578
86,-1.8703879291135552
87,-1.7034913423336948
88,-1.58432637167189
89,-1.6740552422139603
90,-2.384741221620246
91,-2.1672813275551617
92,-1.805483054248998
93,-1.7007999052813607
94,-1.8759164567423694
95,-1.7287765460423594
96,-1.3188255405912326
97,-2.0668695470627396
98,-1.5882096238822143
99,-1.6755242885466013
100,-1.9109677159731708
101,-1.6048229161421184
102,-1.6940945749456142
103,-1.6547916561602005
104,-1.5699017688964303
105,-1.4408616430315857
106,-1.515099551510429
107,-1.7008930255884323
108,-2.1158546361033967
109,-1.7043473430848932
110,-1.9772098701311447
111,-1.6624840192497259
112,-1.870576313279312
113,-1.5118189096285528
114,-2.1405218543144375
115,-1.6149548858309537
116,-1.7244064556663552
117,-1.849838629293029
118,-1.3584718297993794
119,-1.7386723057791909
120,-1.6964092672820743
121,-1.9997660863969815
122,-1.6350136354029023
123,-2.0070927846577784
124,-1.8324883017826687
125,-1.5926084688190116
126,-1.6085632168769277
127,-1.645834023746133
128,-1.8447351281435997
129,-2.055267286763104
130,-1.8470651798390483
131,-1.601687340170252
132,-1.7964884670076477
133,-1.4811953224216436
134,-1.5830534892371162
135,-1.2811430481656807
136,-1.8565390910766069
137,-1.6134107337874883
138,-1.649464615357086
139,-2.0030956715761894
140,-1.4744324582854191
141,-1.4699697437134642
142,-1.50310165326495
143,-1.7013503083440968
144,-2.498480716725089
145,-1.4942135684575286
146,-1.4941674109108842
147,-1.864680737820997
148,-1.6626775316931655
149,-1.7547249816924242
150,-1.4784650761308475
151,-1.7751198630332408
152,-1.684649603857917
153,-1.4086828239081433
154,-1.393714793152853
155,-1.2579859825224906
156,-1.3369218166292163
157,-1.723697127246099
158,-1.1873586359362047
159,-1.8807963493456021
160,-1.7480024975199837
161,-2.0076467584343347
162,-1.5058336686614266
163,-1.909279916980974
164,-1.3428786926126721
165,-1.5954585181998298
166,-1.315003368921266
167,-1.5461191646911319
168,-1.7497839332768264
169,-1.7489347340420514
170,-1.536890042768391
171,-1.2803412149057545
172,-1.647861634530313
173,-1.5055265564836957
174,-1.9754725504467245
175,-1.9469963677118844
176,-1.8895220871059193
177,-1.6904107946481548
178,-1.909884217528245
179,-1.4353911842740126
180,-1.6376247637323322
181,-1.4603301411342997
182,-1.7658809162333222
183,-1.7454696617573624
184,-2.3157521440128086
185,-1.813284368722485
186,-1.6645507749387436
187,-1.8520043494110845
188,-1.3515492604266688
189,-1.5830868467226744
190,-1.799716511788199
191,-1.4227436504730044
192,-1.074411951213768
193,-1.996960993681606
194,-1.3180624168783077
195,-1.2980418750901632
196,-1.502999517716697
197,-1.3460399601395168
198,-1.6898768529176036
199,-1.7365984596678206
200,-1.5322471005672478
201,-1.9267022160258278
202,-1.1378085335995194
