episode,reward
0,-1.867945856
1,-2.018423112
2,-2.332503493
3,-2.047953513
4,-1.919954564
5,-2.142869167
6,-1.526035214
7,-2.495288621
8,-1.978933981
9,-1.647387234
10,-2.191341246
11,-2.193249252
12,-1.756250178
13,-1.627537414
14,-2.107415078
15,-1.97251006
16,-1.672313319
17,-1.879848838
18,-2.520903498
19,-1.569538094
20,-1.858424725
21,-2.271649742
22,-1.871668124
23,-1.784420229
24,-1.896053074
25,-1.694192869
26,-2.277051592
27,-2.018104301
28,-1.749465937
29,-1.63449028
30,-1.777420547
31,-1.544224022
32,-1.902959241
33,-1.759653606
34,-1.865424582
35,-2.149774675
36,-1.910250662
37,-1.587055842
38,-1.916178167
39,-2.082777026
40,-1.945058297
41,-3.851474936
42,-2.261981851
43,-1.061272846
44,-1.563208785
45,-2.155541549
46,-2.505588951
47,-3.405394824
48,-3.851444071
49,-1.649298418
50,-2.43090104
51,-2.484547005
52,-2.954385247
53,-2.266537834
54,-2.042999737
55,-2.581025984
56,-1.465902592
57,-0.693217538
58,0.231407702
59,-1.641008558
60,-2
61,-1.843117577
62,-0.299821338
63,-2
64,-2
65,-2
66,-1.903010403
67,0.357314125
68,-0.346064371
69,-2.08
70,-2
71,-1.361306533
72,-0.736993553
73,-0.948507071
74,-1.323472949
75,-0.411077017
76,-0.578537626
77,0.627045014
78,0.072439535
79,0.055302738
80,0.165066847
81,-0.389706967
82,-1.211190013
83,-2.028503921
84,0.419204558
85,-0.244386939
86,-1.309378355
87,-0.57079993
88,0.148765767
89,-0.342493107
90,0.492199309
91,1.215794325
92,0.2926006
93,0.488589086
94,-0.150264161
95,-0.217950822
96,0.071122456
97,0.662914143
98,1.208845002
99,1.386399386
100,1.414421213
101,0.533392075
102,-0.42552784
103,1.206143716
104,1.325294208
105,1.093757031
106,1.064600293
107,1.25279322
108,1.104136022
109,1.354554384
110,1.226203601
111,1.136210655
112,1.321474872
113,1.346947241
114,1.317875347
115,1.305418327
116,1.311528212
117,1.283214571
118,1.140269458
119,1.319129545
120,1.178317336
121,1.335607013
122,1.265837098
123,1.305371327
124,1.220781426
125,1.243972566
126,1.201938517
127,1.434628556
128,1.342399214
129,1.350912772
130,1.300091289
131,1.321809577
132,1.362352253
133,1.438752028
134,1.336334733
135,1.197711837
136,1.444659609
137,1.434689085
138,1.404656565
139,1.403862803
140,1.389637975
141,1.296788499
142,1.335338209
143,1.32941565
144,1.420425403
145,1.401553374
146,1.369108775
147,1.346271757
148,1.429861689
149,1.45461352
150,1.439107646
151,1.396151174
152,1.398543217
153,1.092761361
154,0.7413925
155,0.843931395
156,1.106810678
157,1.156145208
158,1.326417649
159,1.409602333
160,1.28743992
161,1.337521199
162,1.389804652
163,1.457957316
164,1.414762316
165,1.470687284
166,1.410701907
167,1.497779295
168,1.418592594
169,1.279194472
170,1.352027505
171,1.390528118
172,1.472004179
173,1.409167985
174,1.402164142
175,1.449705533
176,1.496319195
177,1.480976063
178,1.384760333
179,1.411234125
