episode,reward
0,-1.8320419020580627
1,-2.095432844194042
2,-2.1582767406974726
3,-2.6522636036983753
4,-2.14482169135183
5,-2.2378064268906512
6,-2.722287947306021
7,-2.342557057196629
8,-2.4231735252911615
9,-2.438634878232131
10,-2.6254886655944767
11,-2.5749651569245304
12,-2.1696815726222756
13,-2.519892243790845
14,-2.18307695496733
15,-2.3308807317878135
16,-2.352726576053666
17,-2.5722534223633833
18,-2.142335013457695
19,-2.035070360778773
20,-2.224561052717723
21,-2.199480334000149
22,-2.1783523410587615
23,-2.382351468464565
24,-2.4450030768387614
25,-2.3404873010218172
26,-2.365591900468015
27,-2.3487115738089854
28,-2.5376619284828674
29,-2.461022690150438
30,-2.391277055971863
31,-2.2563366292389713
32,-2.4115114288668913
33,-2.3048419429440683
34,-2.5131486894457047
35,-2.4908385432039397
36,-2.1794250093915544
37,-2.0431653721643688
38,-2.1960971672655814
39,-2.388708833108399
40,-2.0416486082177103
41,-2.2278936623057146
42,-2.72882666238451
43,-2.1850983129115633
44,-1.9970866234004838
45,-2.3516428552668778
46,-2.3296828211165885
47,-2.4962484787225376
48,-2.576094846993011
49,-2.3186282589232126
50,-2.5301678818990383
51,-2.0808627023643136
52,-2.1800550157088843
53,-1.9947871249392921
54,-2.287220733734212
55,-2.1678559787248823
56,-2.3491714222862057
57,-1.9771412404468691
58,-2.130079659323103
59,-2.446953437707105
60,-2.127019915792495
61,-1.8380542866363927
62,-2.3608658721180458
63,-2.184784821145238
64,-2.2576561036489062
65,-2.0928778680841957
66,-2.072069794217894
67,-2.2153311884937033
68,-2.2828816668641583
69,-2.476332320710902
70,-2.135140584394004
71,-2.40071900336953
72,-2.3443927331480667
73,-2.337899719310064
74,-2.2599274953609436
75,-2.2767606794957245
76,-2.092059172141907
77,-1.8970158060443347
78,-2.3284043967434904
79,-1.912390372356765
80,-2.081746083195607
81,-2.2546252996157325
82,-2.409190728692632
83,-2.091099263255221
84,-2.237512289124301
85,-2.2420345654828977
86,-2.223914165171194
